24179661
EdgeEffect
cn1084
First loop with i = 0, and events = 8000
First loop with i = 3250, and events = 8000
First loop with i = 3300, and events = 8000
First loop with i = 3350, and events = 8000
First loop with i = 3400, and events = 8000
First loop with i = 3450, and events = 8000
First loop with i = 3500, and events = 8000
First loop with i = 3550, and events = 8000
First loop with i = 3600, and events = 8000
First loop with i = 3650, and events = 8000
First loop with i = 3700, and events = 8000
First loop with i = 3750, and events = 8000
First loop with i = 3800, and events = 8000
First loop with i = 3850, and events = 8000
First loop with i = 3900, and events = 8000
First loop with i = 3950, and events = 8000
First loop with i = 4000, and events = 8000
First loop with i = 4050, and events = 8000
First loop with i = 4100, and events = 8000
First loop with i = 4150, and events = 8000
First loop with i = 4200, and events = 8000
First loop with i = 4250, and events = 8000
First loop with i = 4300, and events = 8000
First loop with i = 4350, and events = 8000
First loop with i = 4400, and events = 8000
First loop with i = 4450, and events = 8000
First loop with i = 4500, and events = 8000
First loop with i = 4550, and events = 8000
First loop with i = 4600, and events = 8000
First loop with i = 4650, and events = 8000
First loop with i = 4700, and events = 8000
First loop with i = 4750, and events = 8000
First loop with i = 4800, and events = 8000
First loop with i = 4850, and events = 8000
First loop with i = 4900, and events = 8000
First loop with i = 4950, and events = 8000
First loop with i = 5000, and events = 8000
First loop with i = 5050, and events = 8000
First loop with i = 5100, and events = 8000
First loop with i = 5150, and events = 8000
First loop with i = 5200, and events = 8000
First loop with i = 5250, and events = 8000
First loop with i = 5300, and events = 8000
First loop with i = 5350, and events = 8000
First loop with i = 5400, and events = 8000
First loop with i = 5450, and events = 8000
First loop with i = 5500, and events = 8000
First loop with i = 5550, and events = 8000
First loop with i = 5600, and events = 8000
First loop with i = 5650, and events = 8000
First loop with i = 5700, and events = 8000
First loop with i = 5750, and events = 8000
First loop with i = 5800, and events = 8000
First loop with i = 5850, and events = 8000
First loop with i = 5900, and events = 8000
First loop with i = 5950, and events = 8000
First loop with i = 6000, and events = 8000
First loop with i = 6050, and events = 8000
First loop with i = 6100, and events = 8000
First loop with i = 6150, and events = 8000
First loop with i = 6200, and events = 8000
First loop with i = 6250, and events = 8000
First loop with i = 6300, and events = 8000
First loop with i = 6350, and events = 8000
First loop with i = 6400, and events = 8000
First loop with i = 6450, and events = 8000
First loop with i = 6500, and events = 8000
First loop with i = 6550, and events = 8000
First loop with i = 6600, and events = 8000
First loop with i = 6650, and events = 8000
First loop with i = 6700, and events = 8000
First loop with i = 6750, and events = 8000
First loop with i = 6800, and events = 8000
First loop with i = 6850, and events = 8000
First loop with i = 6900, and events = 8000
First loop with i = 6950, and events = 8000
First loop with i = 7000, and events = 8000
First loop with i = 7050, and events = 8000
First loop with i = 7100, and events = 8000
First loop with i = 7150, and events = 8000
First loop with i = 7200, and events = 8000
First loop with i = 7250, and events = 8000
First loop with i = 7300, and events = 8000
First loop with i = 7350, and events = 8000
First loop with i = 7400, and events = 8000
First loop with i = 7450, and events = 8000
First loop with i = 7500, and events = 8000
First loop with i = 7550, and events = 8000
First loop with i = 7600, and events = 8000
First loop with i = 7650, and events = 8000
First loop with i = 7700, and events = 8000
First loop with i = 7750, and events = 8000
First loop with i = 7800, and events = 8000
First loop with i = 7850, and events = 8000
First loop with i = 7900, and events = 8000
First loop with i = 7950, and events = 8000
Second loop with i = 0, and events = 8000
Second loop with i = 50, and events = 8000
Second loop with i = 100, and events = 8000
Second loop with i = 150, and events = 8000
Second loop with i = 200, and events = 8000
Second loop with i = 250, and events = 8000
Second loop with i = 300, and events = 8000
Second loop with i = 350, and events = 8000
Second loop with i = 400, and events = 8000
Second loop with i = 450, and events = 8000
Second loop with i = 500, and events = 8000
Second loop with i = 550, and events = 8000
Second loop with i = 600, and events = 8000
Second loop with i = 650, and events = 8000
Second loop with i = 700, and events = 8000
Second loop with i = 750, and events = 8000
Second loop with i = 800, and events = 8000
Second loop with i = 850, and events = 8000
Second loop with i = 900, and events = 8000
Second loop with i = 950, and events = 8000
Second loop with i = 1000, and events = 8000
Second loop with i = 1050, and events = 8000
Second loop with i = 1100, and events = 8000
Second loop with i = 1150, and events = 8000
Second loop with i = 1200, and events = 8000
Second loop with i = 1250, and events = 8000
Second loop with i = 1300, and events = 8000
Second loop with i = 1350, and events = 8000
Second loop with i = 1400, and events = 8000
Second loop with i = 1450, and events = 8000
Second loop with i = 1500, and events = 8000
Second loop with i = 1550, and events = 8000
Second loop with i = 1600, and events = 8000
Second loop with i = 1650, and events = 8000
Second loop with i = 1700, and events = 8000
Second loop with i = 1750, and events = 8000
Second loop with i = 1800, and events = 8000
Second loop with i = 1850, and events = 8000
Second loop with i = 1900, and events = 8000
Second loop with i = 1950, and events = 8000
Second loop with i = 2000, and events = 8000
Second loop with i = 2050, and events = 8000
Second loop with i = 2100, and events = 8000
Second loop with i = 2150, and events = 8000
Second loop with i = 2200, and events = 8000
Second loop with i = 2250, and events = 8000
Second loop with i = 2300, and events = 8000
Second loop with i = 2350, and events = 8000
Second loop with i = 2400, and events = 8000
Second loop with i = 2450, and events = 8000
Second loop with i = 2500, and events = 8000
Second loop with i = 2550, and events = 8000
Second loop with i = 2600, and events = 8000
Second loop with i = 2650, and events = 8000
Second loop with i = 2700, and events = 8000
Second loop with i = 2750, and events = 8000
Second loop with i = 2800, and events = 8000
Second loop with i = 2850, and events = 8000
Second loop with i = 2900, and events = 8000
Second loop with i = 2950, and events = 8000
Second loop with i = 3000, and events = 8000
Second loop with i = 3050, and events = 8000
Second loop with i = 3100, and events = 8000
Second loop with i = 3150, and events = 8000
Second loop with i = 3200, and events = 8000
Second loop with i = 3250, and events = 8000
Second loop with i = 3300, and events = 8000
Second loop with i = 3350, and events = 8000
Second loop with i = 3400, and events = 8000
Second loop with i = 3450, and events = 8000
Second loop with i = 3500, and events = 8000
Second loop with i = 3550, and events = 8000
Second loop with i = 3600, and events = 8000
Second loop with i = 3650, and events = 8000
Second loop with i = 3700, and events = 8000
Second loop with i = 3750, and events = 8000
Second loop with i = 3800, and events = 8000
Second loop with i = 3850, and events = 8000
Second loop with i = 3900, and events = 8000
Second loop with i = 3950, and events = 8000
Second loop with i = 4000, and events = 8000
Second loop with i = 4050, and events = 8000
Second loop with i = 4100, and events = 8000
Second loop with i = 4150, and events = 8000
Second loop with i = 4200, and events = 8000
Second loop with i = 4250, and events = 8000
Second loop with i = 4300, and events = 8000
Second loop with i = 4350, and events = 8000
Second loop with i = 4400, and events = 8000
Second loop with i = 4450, and events = 8000
Second loop with i = 4500, and events = 8000
Second loop with i = 4550, and events = 8000
Second loop with i = 4600, and events = 8000
Second loop with i = 4650, and events = 8000
Second loop with i = 4700, and events = 8000
Second loop with i = 4750, and events = 8000
Second loop with i = 4800, and events = 8000
Second loop with i = 4850, and events = 8000
Second loop with i = 4900, and events = 8000
Second loop with i = 4950, and events = 8000
Second loop with i = 5000, and events = 8000
Second loop with i = 5050, and events = 8000
Second loop with i = 5100, and events = 8000
Second loop with i = 5150, and events = 8000
Second loop with i = 5200, and events = 8000
Second loop with i = 5250, and events = 8000
Second loop with i = 5300, and events = 8000
Second loop with i = 5350, and events = 8000
Second loop with i = 5400, and events = 8000
Second loop with i = 5450, and events = 8000
Second loop with i = 5500, and events = 8000
Second loop with i = 5550, and events = 8000
Second loop with i = 5600, and events = 8000
Second loop with i = 5650, and events = 8000
Second loop with i = 5700, and events = 8000
Second loop with i = 5750, and events = 8000
Second loop with i = 5800, and events = 8000
Second loop with i = 5850, and events = 8000
Second loop with i = 5900, and events = 8000
Second loop with i = 5950, and events = 8000
Second loop with i = 6000, and events = 8000
Second loop with i = 6050, and events = 8000
Second loop with i = 6100, and events = 8000
Second loop with i = 6150, and events = 8000
Second loop with i = 6200, and events = 8000
Second loop with i = 6250, and events = 8000
Second loop with i = 6300, and events = 8000
Second loop with i = 6350, and events = 8000
Second loop with i = 6400, and events = 8000
Second loop with i = 6450, and events = 8000
Second loop with i = 6500, and events = 8000
Second loop with i = 6550, and events = 8000
Second loop with i = 6600, and events = 8000
Second loop with i = 6650, and events = 8000
Second loop with i = 6700, and events = 8000
Second loop with i = 6750, and events = 8000
Second loop with i = 6800, and events = 8000
Second loop with i = 6850, and events = 8000
Second loop with i = 6900, and events = 8000
Second loop with i = 6950, and events = 8000
Second loop with i = 7000, and events = 8000
Second loop with i = 7050, and events = 8000
Second loop with i = 7100, and events = 8000
Second loop with i = 7150, and events = 8000
Second loop with i = 7200, and events = 8000
Second loop with i = 7250, and events = 8000
Second loop with i = 7300, and events = 8000
Second loop with i = 7350, and events = 8000
Second loop with i = 7400, and events = 8000
Second loop with i = 7450, and events = 8000
Second loop with i = 7500, and events = 8000
Second loop with i = 7550, and events = 8000
Second loop with i = 7600, and events = 8000
Second loop with i = 7650, and events = 8000
Second loop with i = 7700, and events = 8000
Second loop with i = 7750, and events = 8000
Second loop with i = 7800, and events = 8000
Second loop with i = 7850, and events = 8000
Second loop with i = 7900, and events = 8000
Second loop with i = 7950, and events = 8000
Spectrum for full sky:
0   12.565510248169911   0.00010684507727853344
1   0.004098073660933652   3.7362202752646926e-05
2   0.004215363650786029   3.0243029291081488e-05
3   0.004159100049342961   2.4764571607432047e-05
4   0.004198672681415144   2.2169241707032197e-05
5   0.00420725394424288   2.0035084552229032e-05
6   0.004182366327843129   1.845192035167077e-05
7   0.004174585119753482   1.7172541736324664e-05
8   0.00420681728073689   1.6328111743027937e-05
9   0.0041619374399054655   1.4976719927494916e-05
10   0.004172913460874998   1.4292774096454347e-05
11   0.004222635734155531   1.4075217185535964e-05
12   0.004214644186032777   1.331882587054159e-05
13   0.004197106796924483   1.2789774594980936e-05
14   0.004196189086194872   1.2515089382577846e-05
15   0.004199370386285754   1.1698158422286778e-05
16   0.004205059845385048   1.1641577279349004e-05
17   0.0042199386599065985   1.1131302621615274e-05
18   0.004224344112758326   1.1012337189412092e-05
19   0.004234636962983227   1.0787060893070078e-05
20   0.004273108022640949   1.0678756042573395e-05
21   0.004266845141358992   1.0325910460522277e-05
22   0.0043380049970358275   1.02985319334513e-05
23   0.004342707186463949   1.0150333319821235e-05
Spectrum for |eta|<3.0:
0   12.565510248169911   0.00010684507727853344
1   0.004098073660933652   3.7362202752646926e-05
2   0.004215363650786029   3.0243029291081488e-05
3   0.004159100049342961   2.4764571607432047e-05
4   0.004198672681415144   2.2169241707032197e-05
5   0.00420725394424288   2.0035084552229032e-05
6   0.004182366327843129   1.845192035167077e-05
7   0.004174585119753482   1.7172541736324664e-05
8   0.00420681728073689   1.6328111743027937e-05
9   0.0041619374399054655   1.4976719927494916e-05
10   0.004172913460874998   1.4292774096454347e-05
11   0.004222635734155531   1.4075217185535964e-05
12   0.004214644186032777   1.331882587054159e-05
13   0.004197106796924483   1.2789774594980936e-05
14   0.004196189086194872   1.2515089382577846e-05
15   0.004199370386285754   1.1698158422286778e-05
16   0.004205059845385048   1.1641577279349004e-05
17   0.0042199386599065985   1.1131302621615274e-05
18   0.004224344112758326   1.1012337189412092e-05
19   0.004234636962983227   1.0787060893070078e-05
20   0.004273108022640949   1.0678756042573395e-05
21   0.004266845141358992   1.0325910460522277e-05
22   0.0043380049970358275   1.02985319334513e-05
23   0.004342707186463949   1.0150333319821235e-05
Spectrum for |eta|<2.0:
0   11.780026742772108   0.0008605811717858987
1   0.003960252597508445   3.607689410643938e-05
2   0.015652543705185807   7.133589065676665e-05
3   0.004031018843553416   2.417208333094187e-05
4   0.01329855057488006   4.603355669812733e-05
5   0.004081537197851176   1.9442515928236735e-05
6   0.010390056509013859   3.3495764378351125e-05
7   0.004029620757888745   1.6622518650940817e-05
8   0.007677234959575533   2.4766365355517717e-05
9   0.004022944296023806   1.4588805893235422e-05
10   0.005579773779375151   1.7843839479608225e-05
11   0.004084257196283796   1.3602678701368502e-05
12   0.004458755841635856   1.3935972382917936e-05
13   0.004053897949119109   1.231189301011553e-05
14   0.0040692178947254135   1.2159896961366155e-05
15   0.004056273087486465   1.1345797015062844e-05
16   0.004158709793639022   1.147932997873913e-05
17   0.004085624093964264   1.084923013754708e-05
18   0.004384689229793278   1.1246071851481386e-05
19   0.004107161354965762   1.0496749395359204e-05
20   0.00454088149370894   1.124811773926927e-05
21   0.004149264085414609   1.0077635009591687e-05
22   0.004543477633394371   1.071712649244125e-05
23   0.0042377663803685765   9.943580184581572e-06
Spectrum for |eta|<0.9:
0   6.292181663001936   0.0016603250266181517
1   0.0028736723924429053   2.7514772652614596e-05
2   0.3970302385486146   0.00020160551751302087
3   0.0029334239311599743   1.8465212665704745e-05
4   0.00922101347772593   3.244303460279915e-05
5   0.002971831294881857   1.4968368022353038e-05
6   0.022709002374930544   3.97303398307445e-05
7   0.0029599415486447427   1.2711218866290362e-05
8   0.0041937490085296415   1.4853358868054237e-05
9   0.002943058910528603   1.1202568083953422e-05
10   0.007719813782984847   1.8118263492422012e-05
11   0.0029644395040383494   1.0279030352818718e-05
12   0.003386416986666581   1.0695004725339425e-05
13   0.0029650464297602684   9.416073538058544e-06
14   0.005050861031004377   1.2336671940447402e-05
15   0.0029725621138002077   8.678221344658769e-06
16   0.0031987476094975423   9.0811047400362e-06
17   0.0029848382278888654   8.198049431380776e-06
18   0.004042488789528015   9.696605069077666e-06
19   0.002990148007974638   8.00567235386223e-06
20   0.0031327244125844075   8.087715055487134e-06
21   0.0030604377392555748   7.690044188092715e-06
22   0.003943893353612831   8.956469066429323e-06
23   0.0032773481369359897   7.99544344841322e-06
Done!
